Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device
2023-01-01,6418662,0.759,4871764,0.942,4589201.688,1.14,5231689.924,Desktop
2023-01-01,9674677,0.49,4740591,1.568,7433246.688,1.271,9447656.54,Desktop
2023-01-02,7286511,0.967,7046056,0.443,3121402.808,1.152,3595856.035,Desktop
2023-01-03,6124000,0.112,685888,1.408,965730.304,1.393,1345262.313,Desktop
2023-01-03,5230600,0.844,4414626,0.783,3456652.158,0.916,3166293.377,Mobile
2023-01-04,9192820,0.55,5056051,1.459,7376778.409,0.762,5621105.148,Mobile
2023-01-05,9241585,0.98,9056753,0.166,1503420.998,1.132,1701872.57,Mobile
2023-01-06,3578831,0.428,1531739,0.939,1438302.921,1.334,1918696.097,Mobile
2023-01-06,3880679,0.692,2685429,1.737,4664590.173,1.325,6180581.979,Desktop
2023-01-07,5932600,0.354,2100140,0.349,732948.86,0.881,645727.946,Desktop
2023-01-08,7811938,0.371,2898228,1.627,4715416.956,0.877,4135420.67,Mobile
2023-01-09,1549284,0.403,624361,0.952,594391.672,1.351,803023.149,Desktop
2023-01-09,7783548,0.936,7285400,1.94,14133676.0,1.385,19575141.26,Mobile
2023-01-10,574450,0.804,461857,0.482,222615.074,0.948,211039.09,Mobile
2023-01-11,7670167,0.55,4218591,1.338,5644474.758,1.019,5751719.778,Mobile
2023-01-11,8613644,0.859,7399120,0.809,5985888.08,1.114,6668279.321,Desktop
2023-01-12,6271276,0.096,602042,0.677,407582.434,0.91,370900.015,Mobile
2023-01-13,6896765,0.093,641399,0.928,595218.272,1.35,803544.667,Desktop
2023-01-14,825048,0.544,448826,0.783,351430.758,1.356,476540.108,Desktop
2023-01-14,4107303,0.975,4004620,0.855,3423950.1,1.482,5074294.048,Mobile
2023-01-15,7486432,0.904,6767734,0.351,2375474.634,1.208,2869573.358,Mobile
2023-01-16,5038726,0.821,4136794,2.035,8418375.79,1.086,9142356.108,Mobile
2023-01-17,6857563,0.509,3490499,1.399,4883208.101,1.1,5371528.911,Mobile
2023-01-17,7595691,0.82,6228466,1.991,12400875.806,1.438,17832459.409,Desktop
2023-01-18,5446992,0.248,1350854,1.506,2034386.124,1.165,2370059.834,Mobile
2023-01-19,862193,0.857,738899,0.906,669442.494,1.444,966674.961,Desktop
2023-01-19,5426705,0.187,1014793,0.503,510440.879,1.311,669187.992,Desktop
