Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device
2023-01-01,1127448,0.439,494949,0.333,164818.017,1.17,192837.08,Desktop
2023-01-01,5766198,0.427,2462166,1.34,3299302.44,0.959,3164031.04,Desktop
2023-01-02,1948836,0.757,1475268,1.442,2127336.456,0.86,1829509.352,Desktop
2023-01-03,5015466,0.516,2587980,2.234,5781547.32,1.285,7429288.306,Desktop
2023-01-03,5566588,0.499,2777727,0.408,1133312.616,1.271,1440440.335,Mobile
2023-01-04,1568409,0.933,1463325,2.283,3340770.975,1.417,4733872.472,Mobile
2023-01-05,7395064,0.179,1323716,1.428,1890266.448,1.176,2222953.343,Desktop
2023-01-06,9353378,0.062,579909,1.317,763740.153,1.174,896630.94,Desktop
2023-01-06,4669853,0.124,579061,1.385,801999.485,1.059,849317.455,Desktop
2023-01-07,876368,0.699,612581,1.752,1073241.912,1.197,1284670.569,Desktop
2023-01-08,7563007,0.552,4174779,2.28,9518496.12,0.962,9156793.267,Mobile
2023-01-09,5849196,0.581,3398382,2.343,7962409.026,1.157,9212507.243,Desktop
2023-01-09,2985607,0.995,2970678,1.191,3538077.498,0.791,2798619.301,Desktop
2023-01-10,3210813,0.251,805914,0.275,221626.35,1.269,281243.838,Desktop
2023-01-11,1349077,0.291,392581,1.048,411424.888,0.835,343539.781,Mobile
2023-01-11,9821252,0.222,2180317,1.732,3776309.044,1.117,4218137.202,Desktop
2023-01-12,5392796,0.663,3575423,1.516,5420341.268,1.328,7198213.204,Desktop
2023-01-13,7431870,0.961,7142027,1.979,14134071.433,0.84,11872620.004,Desktop
2023-01-14,713499,0.708,505157,2.327,1175500.339,1.297,1524623.94,Desktop
2023-01-14,1939289,0.408,791229,0.925,731886.825,1.417,1037083.631,Mobile
2023-01-15,5637253,0.858,4836763,1.839,8894807.157,1.43,12719574.235,Mobile
2023-01-16,8925985,0.696,6212485,1.589,9871638.665,1.407,13889395.602,Mobile
2023-01-17,1411118,0.415,585613,0.448,262354.624,0.769,201750.706,Desktop
2023-01-17,7265996,0.568,4127085,2.005,8274805.425,1.399,11576452.79,Mobile
2023-01-18,8300654,0.372,3087843,1.485,4585446.855,1.011,4635886.77,Mobile
2023-01-19,3471018,0.437,1516834,0.482,731113.988,0.944,690171.605,Mobile
2023-01-19,5385872,0.522,2811425,1.019,2864842.075,1.293,3704240.803,Mobile
2023-01-20,2413613,0.002,4827,0.372,1795.644,1.331,2390.002,Desktop
2023-01-21,3702765,0.284,1051585,1.507,1584738.595,0.989,1567306.47,Desktop
