market,clickshare
UK,0.0960697517167321
US,0.040301459807411864
ES,0.07837851533822979
JP,0.0994900434979005
AU,0.04539091364750618
BR,0.012668167467507225
MX,0.07788634624169112
DE,0.02871912434030984
FR,0.06502760861220545
IT,0.09729734687430965
CA,0.08224323659535819
CN,0.016126917135105067
IN,0.09794440448869335
RU,0.057539329401711005
ZA,0.0766927268078508
AR,0.05953870731144128
NL,0.09630662755871078
SE,0.09760143980060818
NO,0.02723508639421581
DK,0.03451053717053593
FI,0.07724881558493811
BE,0.050049079860430314
CH,0.041328733367326925
AT,0.05756097165423561
PL,0.0941209713361607
PT,0.024615391044778143
GR,0.023637762922704322
TR,0.05500287647892378
EG,0.08497329785864166
SA,0.022813199350665773
AE,0.0130498113995637
SG,0.023344819978253516
MY,0.03429185959073693
TH,0.03751945991643549
ID,0.08755775684752833
PH,0.07104124960326905
VN,0.019774626544364984
NZ,0.07029992387695057
KR,0.029271956238664
IL,0.01749041059163822
